iso-3166-1,country,city
Fuzuli,39.6024762,47.1523402
Gadabay,40.5087904,45.67288509999999
Ganca,40.6878581,46.3723313
Goranboy,40.60731639999999,46.7807131
Goycay,40.6236168,47.74030339999999
Haciqabul,40.03937699999999,48.9202532
Imisli,39.8694686,48.0665217
Ismayilli,40.7871438,48.1523426
Kalbacar,40.1315615,46.1674645
Lacin,39.63834140000001,46.5460853
Lankaran,38.7528669,48.8475015
Lerik,38.7736192,48.4151483
Masalli,39.0340722,48.6589354
Mingacevir,40.7702563,47.0496015
Naftalan,40.5075632,46.8239786
Naxcivan,39.2009126,45.4082269
Neftcala,39.3881052,49.2413743
Oguz,41.0727924,47.4650672
Qabala,40.9981633,47.8699826
Qax,41.4206827,46.9320184
Qazax,41.0971074,45.3516331
Qobustan,40.0877962,49.4030219
Quba,41.3643024,48.5260928
Qubadli,39.2713996,46.6354312
Qusar,41.4266886,48.4345577
Saatli,39.9095503,48.3595122
Sabirabad,39.9870663,48.4692545
Saki,41.1974753,47.1571241
Salyan,39.5779145,48.9718588
Samaxi,40.63187310000001,48.6363801
Samkir,40.88123969999999,46.0179009
Samux,40.7604631,46.4063181
Sumqayit,40.5854765,49.6317411
Susa,39.7537438,46.7464755
Tartar,40.3443875,46.9376519
Tovuz,40.9954523,45.6165907
Ucar,40.5067525,47.6489641
Xacmaz,41.4591168,48.80206260000001
Xankandi,39.8265268,46.7655621
Xanlar,40.5008523,46.3454855
Xizi,40.9109489,49.07292640000001
Xocali,39.9132553,46.794305
Xocavand,39.7060287,47.064533
Yardimli,38.9058917,48.24961270000001
Yevlax,40.6196638,47.1500324
Zangilan,39.0318935,46.6265379
Zaqatala,41.603085,46.63830799999999
Zardab,40.21481139999999,47.714944
Federation of Bosnia and Herzegovina,43.8874897,17.842793
Republika Srpska,44.7280186,17.3148136
Christ Church,13.083735,-59.52967419999999
Saint James,13.1939911,-59.6276259
Saint Joseph,13.2040088,-59.54695439999999
Saint Michael,13.1132219,-59.59880889999999
Saint Peter,13.2600459,-59.621862
Barisal,22.7029212,90.3465971
Chittagong,22.3475365,91.8123324
Dhaka,23.810332,90.4125181
Khulna,22.845641,89.5403279
Rajshahi,24.3635886,88.62413509999999
Rangpur,25.7438916,89.275227
Sylhet,24.904539,91.8611011
Antwerpen,51.2194475,4.4024643
Brabant Wallon,50.633241,4.524315
Brussels Hoofdstedelijk Gewest,50.8503463,4.3517211
Hainaut,50.5257076,4.062101699999999
Liege,50.6325574,5.5796662
Limburg,50.6203121,5.9418935
Luxembourg,50.0546886,5.467698299999999
Namur,50.4673883,4.8719854
Oost-Vlaanderen,51.02337,3.621849999999999
Vlaams-Brabant,50.8815434,4.564597
West-Vlaanderen,51.0536024,3.1457942
Bale,13.383333,0.133333
Bam,13.4061979,-1.5160212
Banwa,12.1323053,-4.1513764
Bazega,11.9767692,-1.443469
Bougouriba,10.8722646,-3.3388917
Boulgou,11.4336766,-0.3748354
Boulkiemde,12.3373752,-2.2236667
Ganzourgou,12.2537648,-0.7532808999999999
Gnagna,12.8974992,0.0746767
Gourma,12.1624473,0.6773045999999999
Houet,11.1320447,-4.2333355
Ioba,11.0562034,-3.0175712
Kadiogo,12.3425897,-1.443469
Kenedougou,11.3919395,-4.976654
Komoe,10.6542027,-4.780424
Komondjari,12.7126527,0.6773045999999999
Kompienga,11.5238362,0.7532808999999999
Kossi,12.960458,-3.9062688
Koulpelogo,11.5247674,0.1494988
Kouritenga,12.1631813,-0.2244662
Kourweogo,12.7077495,-1.7538817
Leraba,10.6648785,-5.3102505
Loroum,13.8129814,-2.0665197
Mouhoun,12.1432381,-3.3388917
Namentenga,13.0812584,-0.5257822999999999
Naouri,11.2502267,-1.135302
Nayala,12.6964558,-3.0175712
Noumbiel,9.8440946,-2.9775558
Oubritenga,12.7096087,-1.443469
Oudalan,14.471902,-0.4502368
Passore,12.8881221,-2.2236667
Poni,10.3325996,-3.3388917
Sanguie,12.1501861,-2.6983868
Sanmatenga,13.3565304,-1.0586135
Seno,14.0072234,-0.0746767
Sissili,11.2441219,-2.2236667
Soum,12.600536,-2.2728877
Sourou,13.341803,-2.9375739
Tapoa,12.2497072,1.6760691
Tuy,11.5029004,-3.5812692
Yagha,13.3576157,0.7532808999999999
Yatenga,13.6249344,-2.3813621
Ziro,11.6094995,-1.9099238
Zondoma,13.1165926,-2.4208713
Zoundweogo,11.6141174,-0.9820668
Blagoevgrad,42.0208569,23.0943385
Burgas,42.50479259999999,27.4626361
Dobrich,43.57259,27.8272606
Gabrovo,42.8742212,25.3186837
Grad Sofiya,42.6977082,23.3218675
Khaskovo,41.9344178,25.5554672
Kurdzhali,41.6338439,25.3777119
Kyustendil,42.2868817,22.6939308
Lovech,43.1369534,24.7141906
Montana,43.4085161,23.2257292
Pazardzhik,42.1927654,24.3335662
Pernik,42.6051862,23.0378368
Pleven,43.4170423,24.6066847
Plovdiv,42.1354079,24.7452904
Razgrad,43.53367189999999,26.5411164
Ruse,43.83557130000001,25.9656554
Shumen,43.2712398,26.9361286
Silistra,44.1147271,27.2671901
Sliven,42.6816536,26.3228685
Smolyan,41.5774233,24.7011138
Sofiya,42.6977082,23.3218675
Stara Zagora,42.4257769,25.6344644
Turgovishte,43.2493556,26.5727357
Varna,43.2140504,27.9147333
Veliko Turnovo,43.0756739,25.6171514
Vidin,43.996159,22.8679302
Vratsa,43.2102375,23.5528803
Yambol,42.48419990000001,26.5035023
Al Asimah,26.2285161,50.5860497
Al Muharraq,26.2650742,50.6223267
Al Wusta,26.1426093,50.5653294
Ash Shamaliyah,26.1551914,50.4825173
Bubanza,-3.0837748,29.3918108
Bujumbura Mairie,-3.4146958,29.3598782
Bururi,-3.9479261,29.6238368
Cankuzo,-3.2196819,30.5466187
Cibitoke,-2.8878427,29.1230716
Gitega,-3.428803,29.924903
Karuzi,-3.1039901,30.161817
Kayanza,-2.9218531,29.6252858
Kirundo,-2.5848378,30.0961296
Makamba,-4.1384805,29.803397
Muramvya,-3.2675245,29.62238779999999
Muyinga,-2.8409385,30.3464333
Mwaro,-3.511985,29.6991642
Ngozi,-2.9083521,29.8265492
Rutana,-3.9257199,29.9899512
Ruyigi,-3.4750027,30.2483881
Alibori,10.9681093,2.7779813
Atakora,10.7954931,1.6760691
Atlantique,6.6588391,2.2236667
Borgou,9.5340864,2.7779813
Collines,8.3022297,2.302446
Donga,9.7191867,1.6760691
Kouffo,7.003589400000001,1.7538817
Littoral,6.3806973,2.4406387
Mono,6.6607182,1.7538817
Oueme,6.6148152,2.4999918
Plateau,7.3445141,2.539603
Zou,7.346926799999999,2.0665197
Belait,4.449758,114.318703
Brunei and Muara,4.9311206,114.9516869
Temburong,4.6204128,115.141484
Tutong,4.7140373,114.6667939
Chuquisaca,-20.0249144,-64.1478236
Cochabamba,-17.4139766,-66.1653224
El Beni,-14.3782747,-65.0957792
La Paz,-16.489689,-68.11929359999999
Oruro,-17.9646772,-67.1060353
Pando,-10.7988901,-66.9988011
Potosi,-19.5722805,-65.7550063
Santa Cruz,-17.8145819,-63.1560853
Tarija,-21.5213825,-64.7280952
Bonaire,12.1783611,-68.2385339
Saba,17.6354642,-63.2326763
Sint Eustatius,17.4890306,-62.973555
Acre,-9.0237964,-70.81199529999999
Alagoas,-9.5713058,-36.7819505
Amapa,2.0447397,-50.78742219999999
Amazonas,-3.4168427,-65.8560646
Bahia,-12.579738,-41.7007272
Ceara,-5.4983977,-39.3206241
Distrito Federal,-15.826691,-47.92182039999999
Espirito Santo,-19.1834229,-40.3088626
Goias,-15.93397,-50.1403832
Maranhao,-4.9609498,-45.2744159
Mato Grosso,-12.6818712,-56.921099
Mato Grosso do Sul,-20.7722295,-54.7851531
Minas Gerais,-18.512178,-44.5550308
Para,-1.9981271,-54.9306152
Paraiba,-7.239960900000001,-36.7819505
Parana,-25.2520888,-52.0215415
Pernambuco,-8.8137173,-36.954107
Piaui,-7.718340100000001,-42.72892359999999
Rio de Janeiro,-22.9068467,-43.1728965
Rio Grande do Norte,-5.402580299999999,-36.954107
Rio Grande do Sul,-30.0346316,-51.2176986
Rondonia,-11.5057341,-63.580611
Roraima,2.7375971,-62.0750998
Santa Catarina,-27.2423392,-50.2188556
Sao Paulo,-23.5505199,-46.63330939999999
Sergipe,-10.5740934,-37.3856581
Tocantins,-10.17528,-48.2982474
Freeport,26.5416093,-78.64554749999999
Fresh Creek,24.7184902,-77.8002722
Harbour Island,25.5282318,-76.63585619999999
High Rock,26.6239333,-78.2832069
Long Island,23.1764239,-75.0961549
Marsh Harbour,26.5241653,-77.09098089999999
New Providence,25.0479835,-77.355413
Rock Sound,24.879051,-76.1580852
Chhukha,27.0522919,89.5756987
Daga,27.0322861,89.8879304
Gasa,28.0185886,89.9253233
Ha,27.2651669,89.1705998
Mongar,27.2753739,91.23977750000002
Paro,27.4285949,89.4166516
Punakha,27.5920869,89.87974589999999
Shemgang,27.076975,90.8294002
Thimphu,27.4727924,89.6392863
Tongsa,27.2666292,90.5257823
Trashi Yangste,27.8236356,91.443469
Central,-21.1672276,26.419389
Ghanzi,-21.6960991,21.6481861
Kgalagadi,-24.7550285,21.8568586
Kgatleng,-24.1970445,26.2304616
Kweneng,-23.8367249,25.2837585
North-East,-20.9030555,27.4556388
North-West,-19.1905321,23.0011989
South-East,-24.9366094,25.8048521
Southern,-24.823384,24.7142918
Brestskaya Voblasts',52.5296641,25.460648
Homyel'skaya Voblasts',52.1648754,29.1333251
Hrodzyenskaya Voblasts',53.6599945,25.344857
Mahilyowskaya Voblasts',53.7940401,30.7519767
Minskaya Voblasts',53.4718561,27.6969909
Vitsyebskaya Voblasts',55.2959833,28.7583626
Belize,17.5045661,-88.1962133
Cayo,17.0984445,-88.94138650000001
Corozal,18.1349238,-88.24611829999999
Orange Walk,17.760353,-88.86469799999999
Stann Creek,16.8116631,-88.4016041
Toledo,16.2491923,-88.86469799999999
Alberta,53.9332706,-116.5765035
British Columbia,53.7266683,-127.6476206
Manitoba,53.7608608,-98.8138763
New Brunswick,46.5653163,-66.46191639999999
Newfoundland and Labrador,53.1355091,-57.6604364
Northwest Territories,64.8255441,-124.8457334
Nova Scotia,44.68198659999999,-63.744311
Nunavut,70.2997711,-83.1075769
Ontario,51.253775,-85.3232139
Prince Edward Island,46.510712,-63.41681359999999
Quebec,52.9399159,-73.5491361
Saskatchewan,52.9399159,-106.4508639
Yukon Territory,64.2823274,-135.0
Bandundu,-3.3168087,17.3789697
Bas-Congo,-5.1682773,14.232613
Equateur,1.3082615,20.4824404
Kasai-Occidental,-5.320547299999999,21.8568586
Kasai-Oriental,-4.838628,24.087976
Katanga,-9.227371,26.1688189
Kinshasa,-4.4419311,15.2662931
Maniema,-2.5415928,26.649473
Nord-Kivu,-0.5519045,28.593006
Orientale,1.6345101,26.7836995
Sud-Kivu,-3.2841,28.0314428
Bamingui-Bangoran,8.2733455,20.7122465
Bangui,4.3946735,18.5581899
Basse-Kotto,4.8719319,21.2845025
Haut-Mbomou,6.2537134,25.4733554
Haute-Kotto,7.7964379,23.3823545
Kemo,5.8867794,19.3783206
Lobaye,4.3525981,17.4795173
Mambere-Kadei,4.7055653,15.9699878
Mbomou,5.556837000000001,23.7632828
Nana-Mambere,5.6932135,15.2194808
Ombella-Mpoko,5.1188825,18.4276047
Ouaka,6.3168216,20.7122465
Ouham,7.090910999999999,17.668887
Ouham-Pende,6.4850984,16.1580937
Sangha-Mbaere,3.4368607,16.3463791
Bouenza,-4.1128079,13.7289167
Brazzaville,-4.2633597,15.2428853
Cuvette,-0.2877446,16.1580937
Cuvette-Ouest,0.144755,14.4723301
Kouilou,-4.1428413,11.8891721
Lekoumou,-3.170382,13.3587288
Likouala,2.043924000000001,17.668887
Niari,-3.18427,12.2547919
Plateaux,-2.0680088,15.4068079
Pool,-2.420088,16.1816196
Sangha,1.4662328,15.4068079
Aargau,47.3876664,8.2554295
Ausser-Rhoden,47.366481,9.3000916
Basel-Landschaft,47.44181220000001,7.7644002
Basel-Stadt,47.5595986,7.5885761
Bern,46.9479739,7.4474468
Fribourg,46.8064773,7.161971899999999
Geneve,46.2043907,6.1431577
Glarus,47.0404265,9.0672085
Graubunden,46.65698709999999,9.5780257
Inner-Rhoden,47.3161925,9.4316573
Jura,47.3444474,7.143060800000001
Luzern,47.05016819999999,8.3093072
Neuchatel,46.9899874,6.9292732
Nidwalden,46.9267016,8.3849982
Obwalden,46.877858,8.251249
Sankt Gallen,47.4244818,9.3767173
Schaffhausen,47.6958897,8.6380488
Schwyz,47.0207138,8.652988400000002
Solothurn,47.2088348,7.532291
Thurgau,47.60378559999999,9.0557371
Ticino,46.331734,8.800452900000002
Uri,46.7738629,8.602515300000002
Valais,46.1904614,7.5449226
Vaud,46.5613135,6.536765
Zug,47.1661672,8.5154946
Zurich,47.3768866,8.541694
Agneby,6.223217500000001,-3.9062688
Bafing,8.3252047,-7.524724300000001
Bas-Sassandra,5.356791599999999,-6.749399299999999
Denguele,9.4662372,-7.4381355
Dix-Huit Montagnes,7.376237300000001,-7.4381355
Fromager,6.290341799999999,-5.8142885
Haut-Sassandra,6.8757848,-6.5783387
Lacs,6.892414400000001,-5.2266675
Lagunes,5.4611461,-4.479976
Marahoue,6.884620699999999,-5.898713900000001
Moyen-Cavally,6.5208793,-7.6114217
Moyen-Comoe,6.651491699999999,-3.5003454
N'zi-Comoe,7.2456749,-4.2333355
Savanes,9.6783614,-5.5617279
Sud-Bandama,5.5357083,-5.5617279
Sud-Comoe,5.552792999999999,-3.2583626
Vallee du Bandama,8.278978,-4.893562699999999
Worodougou,8.2548962,-6.5783387
Zanzan,8.8207904,-3.4195527
